year,round,date,circuit_name,driver_code,driver_number,team_name,grid_position,classified_position,status,points_real
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,RAI,17,Sauber,13.0,6,Finished,1.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,BUT,8,Benetton,16.0,R,Electrical,0.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,MON,6,Williams,11.0,R,Engine,0.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,TRU,12,Jordan,7.0,R,Engine,0.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,SCH,5,Williams,5.0,R,Collision,0.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,VIL,10,BAR,8.0,R,Collision,0.0
2001,2,2001-03-18 00:00:00+00:00,Malaysian Grand Prix,MSC,1,Ferrari,1.0,1,Finished,10.0
2001,2,2001-03-18 00:00:00+00:00,Malaysian Grand Prix,BUT,8,Benetton,17.0,11,+2 Laps,0.0
2001,2,2001-03-18 00:00:00+00:00,Malaysian Grand Prix,ALO,21,Minardi,21.0,13,+3 Laps,0.0
2001,2,2001-03-18 00:00:00+00:00,Malaysian Grand Prix,BAR,2,Ferrari,2.0,2,Finished,6.0
2001,2,2001-03-18 00:00:00+00:00,Malaysian Grand Prix,COU,4,McLaren,8.0,3,Finished,4.0
